Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Shaun Livingston,PG,33,GSW,1,15,18.4,.600,.000,.000,13.9,5.6,9.3,9.9,3.1,0.0,16.7,15.6,,0.0,0.0,0.0,.160,,4.3,0.0,4.3,0.0
Kevon Looney,C,22,GSW,1,18,34.5,.455,.000,.000,46.4,9.4,25.9,18.6,2.6,9.9,8.3,26.0,,0.1,0.0,0.1,.321,,11.0,5.3,16.3,0.1
T.J. McConnell,PG,26,PHI,1,22,6.3,.400,.200,.000,0.0,4.1,2.1,22.1,0.0,0.0,0.0,9.6,,0.0,0.0,0.0,-0.003,,-3.4,-4.4,-7.7,0.0
Alfonzo McKinnie,SF,26,GSW,1,2,-19.3,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,,0.0,0.0,0.0,-0.457,,-10.7,-6.6,-17.3,0.0
Marcus Morris,PF,29,BOS,1,21,33.7,.667,.583,.000,8.6,37.3,22.4,0.0,4.4,0.0,7.7,25.4,,0.1,0.1,0.2,.441,,6.4,-1.0,5.4,0.0
Nerlens Noel,C,24,OKC,1,12,26.8,.521,.000,1.000,21.1,34.8,27.2,13.8,3.9,5.8,0.0,9.5,,0.1,0.0,0.1,.296,,3.0,5.5,8.5,0.0
Semi Ojeleye,PF,24,BOS,1,1,12.4,,,,0.0,98.0,47.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.195,,-13.6,1.0,-12.6,0.0
Patrick Patterson,PF,29,OKC,1,19,11.4,.339,.444,.333,13.3,11.0,12.3,0.0,2.5,3.7,8.8,23.6,,0.0,0.0,0.0,-0.071,,-5.4,-5.2,-10.6,0.0
J.J. Redick,SG,34,PHI,1,30,13.5,.471,.471,.000,0.0,6.0,3.1,7.0,0.0,0.0,0.0,24.0,,0.0,0.0,0.0,-0.003,,1.1,-6.0,-4.9,0.0
Terry Rozier,PG,24,BOS,1,27,16.4,.550,.200,.000,0.0,29.0,13.9,5.4,0.0,2.9,9.1,16.7,,0.0,0.1,0.1,.200,,-1.6,4.1,2.5,0.0
Dario Saric,PF,24,PHI,1,23,-1.8,.375,.500,.000,0.0,23.6,12.3,7.5,0.0,0.0,27.3,20.2,,-0.1,0.0,-0.1,-0.210,,-9.3,-2.1,-11.4,-0.1
Dennis Schroder,PG,25,OKC,1,34,23.1,.485,.316,.316,5.0,21.5,12.3,36.6,2.8,2.0,12.2,28.7,,0.1,0.0,0.1,.142,,4.7,0.0,4.7,0.1
Landry Shamet,G,21,PHI,1,13,-8.6,.102,.500,.500,0.0,7.0,3.6,0.0,0.0,0.0,0.0,15.9,,-0.1,0.0,-0.1,-0.348,,-11.8,-5.0,-16.8,0.0
Ben Simmons,PG,22,PHI,1,43,25.6,.504,.000,.786,6.8,25.3,16.4,34.1,4.3,3.7,13.7,21.5,,0.1,0.1,0.2,.189,,3.0,5.8,8.8,0.1
Marcus Smart,SG,24,BOS,1,25,10.3,.717,1.000,.500,0.0,11.8,5.6,15.1,0.0,0.0,29.1,11.3,,0.0,0.1,0.1,.178,,1.9,2.1,3.9,0.0
Jayson Tatum,SF,20,BOS,1,29,34.2,.599,.294,.294,6.2,23.6,14.6,18.3,1.6,0.0,5.0,28.5,,0.2,0.1,0.3,.452,,9.8,3.1,12.9,0.1
Daniel Theis,C,26,BOS,1,4,-0.9,,,,0.0,24.5,11.8,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.125,,-5.7,4.3,-1.4,0.0
Klay Thompson,SG,28,GSW,1,35,-0.6,.328,.400,.150,3.0,7.2,5.3,0.0,0.0,0.0,8.6,26.0,,-0.1,0.0,-0.1,-0.122,,-8.4,-7.6,-16.0,-0.1
Brad Wanamaker,G,29,BOS,1,1,104.3,1.000,.000,.000,0.0,98.0,47.1,0.0,0.0,0.0,0.0,41.0,,0.0,0.0,0.0,1.718,,17.9,-10.7,7.1,0.0
Guerschon Yabusele,PF,23,BOS,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.085,,-3.1,5.3,2.2,0.0
