Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Kelly Oubre,F,23,WAS,2,0,19.5,2.5,8.0,.313,0.5,3.5,.143,2.0,4.5,.444,.344,3.0,3.5,.857,1.5,4.5,6.0,0.0,0.0,0.5,1.5,1.0,8.5
Zaza Pachulia,C,34,DET,2,0,19.0,1.5,6.5,.231,0.0,0.0,,1.5,6.5,.231,.231,2.5,4.0,.625,3.5,4.0,7.5,2.5,2.0,0.5,1.0,4.0,5.5
Jabari Parker,F,23,CHI,2,0,24.5,6.0,14.5,.414,1.5,3.5,.429,4.5,11.0,.409,.466,0.5,1.0,.500,1.5,4.0,5.5,1.0,0.5,0.0,1.0,3.0,14.0
Tony Parker,PG,36,CHO,3,0,15.0,1.3,4.7,.286,0.0,0.3,.000,1.3,4.3,.308,.286,0.0,0.7,.000,0.0,2.0,2.0,4.7,0.0,0.0,1.3,2.0,2.7
Chandler Parsons,SF,30,MEM,2,2,20.0,3.5,7.5,.467,1.5,4.5,.333,2.0,3.0,.667,.567,0.0,0.0,,0.5,1.0,1.5,1.0,0.5,0.5,0.5,3.0,8.5
Patrick Patterson,PF,29,OKC,3,3,17.0,1.7,6.3,.263,1.0,4.0,.250,0.7,2.3,.286,.342,1.0,1.3,.750,1.3,1.7,3.0,0.0,0.7,1.0,0.3,0.3,5.3
Chris Paul,PG,33,HOU,2,2,31.0,7.5,14.5,.517,3.0,6.5,.462,4.5,8.0,.563,.621,5.5,7.0,.786,1.0,5.0,6.0,8.0,1.5,0.0,2.0,2.5,23.5
Cameron Payne,G,24,CHI,2,2,25.0,3.0,8.0,.375,0.0,2.0,.000,3.0,6.0,.500,.375,2.5,2.5,1.000,0.5,1.5,2.0,4.5,0.5,0.0,1.0,2.0,8.5
Elfrid Payton,PG,24,NOP,2,2,30.5,5.0,10.0,.500,0.5,1.5,.333,4.5,8.5,.529,.525,0.0,1.0,.000,1.5,6.5,8.0,8.0,0.5,0.5,1.5,2.0,10.5
Theo Pinson,G,23,BRK,1,0,7.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
Mason Plumlee,C,28,DEN,3,0,14.3,2.3,4.3,.538,0.0,0.3,.000,2.3,4.0,.583,.538,1.0,2.7,.375,1.7,2.3,4.0,1.3,0.7,1.0,1.3,3.7,5.7
Miles Plumlee,C,30,ATL,2,0,14.0,3.5,4.0,.875,0.0,0.0,,3.5,4.0,.875,.875,2.5,4.5,.556,2.0,1.0,3.0,1.0,0.5,0.0,1.0,1.5,9.5
Jakob Poeltl,C,23,SAS,2,2,10.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,2.5,0.5,3.0,2.0,0.0,0.0,0.0,2.0,2.0
Quincy Pondexter,G-F,30,SAS,1,0,3.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Otto Porter,F,25,WAS,2,2,29.5,3.5,8.0,.438,1.0,3.5,.286,2.5,4.5,.556,.500,2.0,2.5,.800,1.0,5.0,6.0,0.0,2.0,2.0,0.0,1.0,10.0
Bobby Portis,F,23,CHI,2,2,31.0,5.0,13.5,.370,1.5,5.0,.300,3.5,8.5,.412,.426,1.5,3.0,.500,2.0,10.5,12.5,3.5,1.0,0.5,1.0,3.5,13.0
