Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Dwyane Wade,SG,37,MIA,3,0,25.7,5.3,13.0,.410,0.7,3.0,.222,4.7,10.0,.467,.436,1.7,2.7,.625,2.7,4.7,7.3,3.0,0.7,0.7,3.3,2.7,13.0
Kemba Walker,PG,28,CHO,3,3,35.0,12.3,25.3,.487,6.3,12.7,.500,6.0,12.7,.474,.612,4.3,5.7,.765,0.3,2.7,3.0,5.3,1.0,0.0,2.7,1.3,35.3
John Wall,G,28,WAS,2,2,35.0,8.0,16.0,.500,0.5,5.0,.100,7.5,11.0,.682,.516,9.0,11.5,.783,1.5,2.0,3.5,7.5,2.5,2.0,3.5,4.0,25.5
Taurean Waller-Prince,SF,24,ATL,3,3,27.0,7.3,15.3,.478,2.7,7.3,.364,4.7,8.0,.583,.565,3.7,3.7,1.000,0.3,5.0,5.3,3.3,1.7,0.3,4.0,3.7,21.0
Brad Wanamaker,G,29,BOS,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
T.J. Warren,SF,25,PHO,2,0,23.0,6.0,12.0,.500,2.5,4.5,.556,3.5,7.5,.467,.604,2.0,2.0,1.000,1.5,0.5,2.0,1.0,1.0,0.5,2.0,3.0,16.5
Thomas Welsh,C,22,DEN,2,0,1.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Russell Westbrook,G,30,OKC,1,1,35.0,13.0,23.0,.565,1.0,6.0,.167,12.0,17.0,.706,.587,5.0,11.0,.455,2.0,10.0,12.0,8.0,0.0,0.0,5.0,2.0,32.0
Hassan Whiteside,C,29,MIA,3,3,29.0,4.0,9.0,.444,0.0,0.3,.000,4.0,8.7,.462,.444,2.7,4.7,.571,3.7,10.7,14.3,0.0,0.3,1.7,1.3,3.7,10.7
Andrew Wiggins,SF,23,MIN,3,3,33.7,7.0,16.0,.438,1.7,5.0,.333,5.3,11.0,.485,.490,4.7,5.3,.875,0.7,3.3,4.0,2.3,1.7,0.0,2.0,3.7,20.3
C.J. Williams,G,28,MIN,1,0,8.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Kenrich Williams,G-F,24,NOP,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lou Williams,SG,32,LAC,3,0,25.3,3.7,12.7,.289,1.3,5.3,.250,2.3,7.3,.318,.342,5.7,6.0,.944,0.3,2.0,2.3,2.7,0.7,0.3,1.7,1.7,14.3
Marvin Williams,PF,32,CHO,3,3,25.3,3.3,8.0,.417,1.7,5.7,.294,1.7,2.3,.714,.521,0.3,1.3,.250,1.0,5.3,6.3,0.7,0.0,2.3,1.0,1.3,8.7
Christian Wood,F,23,MIL,2,0,5.5,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.5,1.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,2.0
Guerschon Yabusele,PF,23,BOS,2,0,3.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
Thaddeus Young,PF,30,IND,3,3,26.7,4.3,7.0,.619,0.0,0.3,.000,4.3,6.7,.650,.619,0.3,1.0,.333,1.3,2.3,3.7,1.7,1.0,0.3,1.7,2.3,9.0
Trae Young,G,20,ATL,3,3,34.7,8.3,18.3,.455,3.7,9.3,.393,4.7,9.0,.519,.555,2.7,3.3,.800,0.3,3.0,3.3,8.3,0.7,0.3,2.7,2.7,23.0
Cody Zeller,C,26,CHO,3,3,22.7,3.0,5.3,.563,0.3,0.3,1.000,2.7,5.0,.533,.594,1.7,1.7,1.000,2.3,4.0,6.3,1.7,1.0,0.0,0.7,2.7,8.0
Ante Zizic,C,22,CLE,3,0,9.7,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,1.3,2.0,.667,1.0,1.3,2.3,1.3,0.3,0.0,0.7,1.3,5.3
